date;time;user;nice;system;idle;iowait;irq;softirq
2023-10-25;14:36:30;0.0;0.0;0.5;93.8;0.2;0.0;5.5
2023-10-25;14:36:31;0.5;0.0;0.5;95.2;0.0;0.0;3.8
2023-10-25;14:36:32;0.2;0.0;0.2;90.0;0.0;0.0;9.5
2023-10-25;14:36:33;0.2;0.0;0.0;95.0;0.0;0.0;4.8
2023-10-25;14:36:34;0.0;0.0;0.0;93.2;0.0;0.0;6.8
2023-10-25;14:36:35;0.2;0.2;0.2;93.2;0.2;0.0;5.8
2023-10-25;14:36:36;0.2;0.0;0.2;96.0;0.0;0.0;3.5
2023-10-25;14:36:37;0.2;0.0;0.5;94.8;0.0;0.0;4.5
2023-10-25;14:36:38;0.0;0.0;0.0;92.8;0.0;0.0;7.2
2023-10-25;14:36:39;0.0;0.0;0.5;97.0;0.0;0.0;2.5
2023-10-25;14:36:40;0.8;0.5;1.5;95.0;0.0;0.0;2.2
2023-10-25;14:36:41;0.0;0.0;0.2;98.5;0.0;0.0;1.2
2023-10-25;14:36:42;0.2;0.0;0.5;94.0;0.0;0.0;5.2
2023-10-25;14:36:43;0.0;0.0;0.5;98.5;0.0;0.0;1.0
2023-10-25;14:36:44;0.0;0.0;0.2;97.0;0.0;0.0;2.7
2023-10-25;14:36:45;0.5;0.0;0.2;96.2;0.5;0.0;2.5
2023-10-25;14:36:46;0.0;0.0;0.2;94.8;0.0;0.0;5.0
2023-10-25;14:36:47;0.5;0.0;0.2;95.8;0.0;0.0;3.5
2023-10-25;14:36:48;0.2;0.0;0.0;92.5;0.0;0.0;7.2
2023-10-25;14:36:49;0.0;0.0;0.0;96.8;0.0;0.0;3.2
2023-10-25;14:36:50;0.0;0.0;0.5;95.2;0.2;0.0;4.0
2023-10-25;14:36:51;0.2;0.0;0.2;94.2;0.0;0.0;5.2
2023-10-25;14:36:52;0.0;0.0;0.0;94.2;0.0;0.0;5.8
2023-10-25;14:36:53;0.5;0.0;0.0;95.2;0.0;0.0;4.2
2023-10-25;14:36:54;0.2;0.0;0.0;95.5;0.0;0.0;4.2
2023-10-25;14:36:55;0.8;0.2;2.2;91.5;0.0;0.0;5.2
2023-10-25;14:36:56;0.7;0.0;1.5;94.3;0.0;0.0;3.5
2023-10-25;14:36:57;0.0;0.0;0.2;91.5;0.0;0.0;8.2
2023-10-25;14:36:58;0.0;0.0;0.0;93.8;0.0;0.0;6.2
2023-10-25;14:36:59;0.0;0.0;0.2;92.0;0.0;0.0;7.8
2023-10-25;14:37:00;0.2;0.2;0.8;91.8;0.2;0.0;6.8
2023-10-25;14:37:01;0.2;0.0;0.0;90.0;0.0;0.0;9.8
2023-10-25;14:37:02;0.2;0.0;0.0;96.5;0.0;0.0;3.2
2023-10-25;14:37:03;0.0;0.0;0.2;93.0;0.0;0.0;6.8
2023-10-25;14:37:04;0.2;0.0;0.0;92.5;0.0;0.0;7.2
2023-10-25;14:37:05;0.5;0.0;0.2;95.5;0.2;0.0;3.5
2023-10-25;14:37:06;0.2;0.0;0.0;94.5;0.0;0.0;5.2
2023-10-25;14:37:07;0.0;0.0;0.5;96.8;0.0;0.0;2.8
2023-10-25;14:37:08;0.2;0.0;0.0;97.2;0.0;0.0;2.5
2023-10-25;14:37:09;0.8;0.0;0.8;96.2;0.0;0.0;2.2
2023-10-25;14:37:10;1.0;0.5;2.0;94.8;0.0;0.0;1.8
2023-10-25;14:37:11;0.2;0.0;0.2;96.5;0.0;0.0;3.0
2023-10-25;14:37:12;0.2;0.0;0.5;97.0;0.0;0.0;2.2
2023-10-25;14:37:13;0.2;0.0;0.2;96.2;0.0;0.0;3.2
2023-10-25;14:37:14;0.2;0.0;1.8;94.0;0.0;0.0;4.0
2023-10-25;14:37:15;0.0;0.0;1.2;94.2;0.2;0.0;4.2
2023-10-25;14:37:16;0.0;0.0;0.2;96.0;0.0;0.0;3.8
2023-10-25;14:37:17;0.5;0.0;0.0;96.0;0.0;0.0;3.5
2023-10-25;14:37:18;0.2;0.0;0.0;95.0;0.0;0.0;4.8
2023-10-25;14:37:19;0.2;0.0;0.0;94.2;0.0;0.0;5.5
2023-10-25;14:37:20;0.0;0.2;0.2;93.8;0.2;0.0;5.5
2023-10-25;14:37:21;0.2;0.0;0.0;95.0;0.0;0.0;4.8
2023-10-25;14:37:22;0.2;0.0;0.0;94.8;0.0;0.0;5.0
2023-10-25;14:37:23;0.0;0.0;0.0;96.5;0.0;0.0;3.5
2023-10-25;14:37:24;0.5;0.0;0.2;94.2;0.0;0.0;5.0
2023-10-25;14:37:25;0.5;0.5;1.8;93.2;0.0;0.0;4.0
2023-10-25;14:37:26;0.2;0.0;0.0;96.0;0.0;0.0;3.7
2023-10-25;14:37:27;0.2;0.0;0.0;94.5;0.0;0.0;5.2
2023-10-25;14:37:28;0.2;0.0;0.2;95.8;0.0;0.0;3.8
2023-10-25;14:37:29;0.2;0.0;0.2;95.8;0.0;0.0;3.8
2023-10-25;14:37:30;0.2;0.0;1.5;94.0;0.2;0.0;4.0
2023-10-25;14:37:31;0.0;0.0;0.5;95.0;0.0;0.0;4.5
2023-10-25;14:37:32;0.0;0.0;0.5;96.8;0.0;0.0;2.8
2023-10-25;14:37:33;0.2;0.0;0.8;94.8;0.0;0.0;4.2
2023-10-25;14:37:34;0.2;0.0;0.0;94.8;0.0;0.0;5.0
2023-10-25;14:37:35;0.0;0.0;0.0;96.8;0.0;0.0;3.2
2023-10-25;14:37:36;0.2;0.0;0.0;92.2;0.0;0.0;7.5
2023-10-25;14:37:37;0.5;0.0;0.0;92.5;0.0;0.0;7.0
2023-10-25;14:37:38;0.0;0.0;0.5;93.8;0.0;0.0;5.8
2023-10-25;14:37:39;0.0;0.0;0.5;95.0;0.0;0.0;4.5
2023-10-25;14:37:40;1.0;0.5;1.5;91.5;0.0;0.0;5.5
2023-10-25;14:37:41;0.5;0.0;0.5;95.0;0.2;0.0;3.8
2023-10-25;14:37:42;0.2;0.0;0.5;92.8;0.0;0.0;6.5
2023-10-25;14:37:43;0.5;0.0;0.0;97.0;0.0;0.0;2.5
2023-10-25;14:37:44;0.2;0.0;0.8;94.8;0.0;0.0;4.2
2023-10-25;14:37:45;0.2;0.2;0.5;94.0;0.0;0.0;5.0
2023-10-25;14:37:46;0.2;0.0;0.5;96.5;0.0;0.0;2.8
2023-10-25;14:37:47;0.2;0.0;0.5;95.8;0.0;0.0;3.5
2023-10-25;14:37:48;0.2;0.0;0.2;95.0;0.0;0.0;4.5
2023-10-25;14:37:49;0.5;0.0;0.0;94.2;0.0;0.0;5.2
2023-10-25;14:37:50;0.5;0.0;0.5;92.2;0.2;0.0;6.5
